vendor,invoice_no,date,city,phone,gstin_vendor,client,gstin_client,vendor_id,po_amount,approval_status,vendor_rating,lead_time,product,service,quantity,unit_price,total
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1800,05-Apr-2025,Pune,+91-22-6134-9200,47AAECS4349C1Z1,CloudWave Systems Pvt. Ltd.,44AACH5051P1Z1,Deloitte-100000,916775.92,Pending,4.5,13 Days,sap-mm01,SAP Business One,25,82011,2050275
KPMG Advisory Services Pvt. Ltd.,KPMG/2025/INV/1801,12-Apr-2025,Hyderabad,+91-22-6134-9200,32AAECS5151C1Z3,NextGen Softworks Pvt. Ltd.,58AACH3968P1Z3,KPMG-100001,1028919.55,Rejected,3.6,13 Days,sap-o01,SAP Analytics Cloud,34,24329,827186
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1802,20-Apr-2025,Bengaluru,+91-22-6134-9200,13AAECS4298C1Z8,NextGen Softworks Pvt. Ltd.,39AACH9698P1Z6,PwC-100002,977358.15,Rejected,4.3,15 Days,sap-fi01,SAP SuccessFactors,87,79672,6931464
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1803,14-Apr-2025,Pune,+91-22-6134-9200,79AAECS8906C1Z3,Horizon Tech Solutions Pvt. Ltd.,10AACH8860P1Z1,PwC-100003,1668230.15,Rejected,3.8,8 Days,sap-fi01,SAP Analytics Cloud,57,51091,2912187
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1804,19-Apr-2025,Mumbai,+91-22-6134-9200,75AAECS6045C1Z6,Horizon Tech Solutions Pvt. Ltd.,69AACH9898P1Z2,Deloitte-100004,512790.56,Approved,4.9,22 Days,sap-fi01,SAP Analytics Cloud,27,30015,810405
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1805,07-Apr-2025,Pune,+91-22-6134-9200,16AAECS6503C1Z7,Infotech Edge Pvt. Ltd.,22AACH4247P1Z4,PwC-100005,1502841.72,Rejected,3.5,13 Days,sap-fi01,SAP Business One,64,51385,3288640
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1806,08-Apr-2025,Bengaluru,+91-22-6134-9200,30AAECS8659C1Z1,Infotech Edge Pvt. Ltd.,70AACH4703P1Z5,Deloitte-100006,2241184.2,Pending,4.1,11 Days,sap-mm01,SAP Ariba,74,59300,4388200
Deloitte Touche Tohmatsu India LLP,Deloitte/2025/INV/1807,07-Apr-2025,Mumbai,+91-22-6134-9200,64AAECS1042C1Z4,NextGen Softworks Pvt. Ltd.,78AACH3921P1Z2,Deloitte-100007,2362229.3,Pending,4.1,18 Days,sap-sd01,SAP Analytics Cloud,31,29188,904828
PwC Consulting Pvt. Ltd.,PwC/2025/INV/1808,05-Apr-2025,Mumbai,+91-22-6134-9200,94AAECS8640C1Z7,Infotech Edge Pvt. Ltd.,13AACH2567P1Z2,PwC-100008,1439797.01,Pending,4.3,15 Days,sap-fi01,SAP Business One,59,28538,1683742
EY India Pvt. Ltd.,EY/2025/INV/1809,07-Apr-2025,Mumbai,+91-22-6134-9200,52AAECS5505C1Z9,Horizon Tech Solutions Pvt. Ltd.,66AACH4047P1Z9,EY-100009,1021173.16,Rejected,4.1,12 Days,sap-o01,SAP Business One,81,43314,3508434
