Product_ID,Product_Name,Total_Units_Sold,Total_Revenue,Number_of_Orders,First_Sale_Date,Last_Sale_Date,Average_Price,Avg_Revenue_Per_Order
00005f3d-7770-4c2e-80b2-66f4794f99af,"Morgan, Chavez and Callahan",5,7127.45,1,2022-02-18,2022-02-18,1425.49,7127.45
00030e2c-5e08-4f6a-b594-398e291b6d70,Schneider-Cruz,1,1062.17,1,2023-08-28,2023-08-28,1062.17,1062.17
000761c5-39ac-4374-bd6b-c7927479c569,Mason-Peters,8,1856.32,1,2023-12-16,2023-12-16,232.04,1856.32
000b5a05-ba8d-4a55-818b-7877de1a3826,Wilson-Moore,2,724.9,1,2022-07-18,2022-07-18,362.45,724.9
0013cdbc-a7fe-44d8-bd81-08b51e35ce54,Raymond-Juarez,6,10799.46,1,2020-05-06,2020-05-06,1799.9099999999999,10799.46
0015cecb-0564-49f0-a277-6e7a7af7ca10,Bennett-May,9,5193.99,1,2023-05-25,2023-05-25,577.11,5193.99
0015dc84-73d5-40ec-b45b-003b9e8fe931,Morgan LLC,5,731.55,1,2021-09-02,2021-09-02,146.31,731.55
00194896-8e59-407b-b906-74ece7e773c4,Johnston LLC,12,10793.880000000001,3,2021-03-21,2022-05-27,899.4900000000001,3597.9600000000005
001ca576-e614-4fe8-95ed-8ab5357f3db5,"Edwards, Perkins and Brown",6,5582.64,1,2020-02-02,2020-02-02,930.44,5582.64
0020e8e3-f839-4736-a974-962106987b09,Allen-Vang,11,772.64,2,2023-11-12,2023-11-12,70.24,386.32
0022efbc-2341-46fc-8aa3-9cca236e94ea,"Heath, Haynes and Lane",17,14161.34,4,2021-06-25,2023-12-08,833.02,3540.335
0025a464-645b-46f4-bd63-482a28880d6b,Kim-Barnes,18,594.0,3,2021-08-26,2023-07-03,33.0,198.0
00298076-5cc6-46bb-91d2-4ec7717cc916,Ramsey-Rasmussen,5,760.6,1,2021-05-27,2021-05-27,152.12,760.6
002aa0aa-e2e7-4dc7-899a-e3c73d5af755,"Jones, Lewis and Frazier",20,6763.8,2,2020-04-22,2020-08-06,338.19,3381.9
002cbf4a-f9e3-4020-8c8d-814d8d595b60,"Wong, Bean and Lowe",26,7930.0,4,2020-12-17,2022-08-30,305.0,1982.5
002d5a86-8bf3-4154-b289-ef246c16e90c,"Morgan, Torres and Medina",4,1598.36,1,2022-12-18,2022-12-18,399.59,1598.36
002e89e9-79c5-4a0e-bcbc-4ec18c6f53bd,Williams Inc,2,2738.28,2,2022-09-28,2023-10-08,1369.14,1369.14
002fc657-3391-4f97-9429-fb719c590cf8,Fry PLC,5,5493.55,1,2022-08-07,2022-08-07,1098.71,5493.55
00320a90-58b6-4e76-96a5-2017384b6b48,Harris and Sons,8,3905.76,1,2020-04-11,2020-04-11,488.22,3905.76
