Date,Vendor_ID,Purchase_Order_Amount,Approval_Status,Vendor_Rating,Procurement_Lead_Time
2023-01-01 00:00:00,V00103,4222.86,Rejected,1,18.9
2023-01-01 01:00:00,V00436,4965.23,Rejected,3,16.8
2023-01-01 02:00:00,V00349,4516.16,Pending,3,15.2
2023-01-01 03:00:00,V00271,1246.62,Approved,5,16.4
2023-01-01 04:00:00,V00107,8443.39,Pending,4,15.9
2023-01-01 05:00:00,V00072,4451.91,Approved,5,8.4
2023-01-01 06:00:00,V00189,5345.41,Pending,3,13.6
2023-01-01 07:00:00,V00021,7489.1,Rejected,1,25.7
2023-01-01 08:00:00,V00103,1000.0,Pending,3,9.5
2023-01-01 09:00:00,V00122,3976.61,Rejected,1,9.3
2023-01-01 10:00:00,V00467,4225.77,Approved,5,12.7
2023-01-01 11:00:00,V00215,4327.38,Rejected,2,24.5
2023-01-01 12:00:00,V00331,4653.03,Rejected,2,10.5
2023-01-01 13:00:00,V00459,7894.27,Approved,5,12.6
2023-01-01 14:00:00,V00088,6346.92,Approved,5,9.9
2023-01-01 15:00:00,V00373,6916.07,Rejected,1,12.4
2023-01-01 16:00:00,V00100,5094.24,Approved,4,13.6
2023-01-01 17:00:00,V00360,2201.25,Approved,4,17.5
2023-01-01 18:00:00,V00152,1000.0,Pending,3,6.9
2023-01-01 19:00:00,V00131,1941.18,Rejected,2,16.2
2023-01-01 20:00:00,V00150,5719.53,Approved,5,10.1
2023-01-01 21:00:00,V00309,5063.54,Rejected,3,17.2
2023-01-01 22:00:00,V00258,4579.67,Approved,4,7.5
2023-01-01 23:00:00,V00344,4262.85,Approved,5,13.6
2023-01-02 00:00:00,V00492,9023.44,Pending,3,10.4
2023-01-02 01:00:00,V00414,3354.19,Rejected,1,15.5
2023-01-02 02:00:00,V00294,6855.64,Approved,5,22.9
2023-01-02 03:00:00,V00386,5003.83,Pending,4,18.0
2023-01-02 04:00:00,V00192,4878.12,Pending,4,18.1
2023-01-02 05:00:00,V00444,7353.28,Pending,4,14.6
2023-01-02 06:00:00,V00277,7925.06,Rejected,2,14.0
2023-01-02 07:00:00,V00161,4520.9,Approved,5,14.3
2023-01-02 08:00:00,V00460,6598.41,Rejected,3,13.7
2023-01-02 09:00:00,V00314,5727.78,Pending,3,11.9
2023-01-02 10:00:00,V00022,5014.87,Approved,4,11.3
2023-01-02 11:00:00,V00253,5408.51,Approved,5,11.2
2023-01-02 12:00:00,V00236,3623.98,Approved,5,13.6
2023-01-02 13:00:00,V00345,4387.8,Rejected,1,10.2
2023-01-02 14:00:00,V00049,3838.73,Approved,5,16.0
2023-01-02 15:00:00,V00475,6802.75,Approved,4,7.4
2023-01-02 16:00:00,V00059,4809.6,Pending,4,16.8
2023-01-02 17:00:00,V00170,2404.57,Approved,5,14.9
2023-01-02 18:00:00,V00476,3553.13,Rejected,3,23.3
2023-01-02 19:00:00,V00188,1000.0,Pending,4,21.5
2023-01-02 20:00:00,V00464,4011.01,Approved,4,9.7
2023-01-02 21:00:00,V00271,5075.29,Pending,3,14.9
2023-01-02 22:00:00,V00190,4727.73,Approved,5,16.6
